Географічний проїзд|w204533374,w204536674
Георгія Жукова вулиця|w25334881,w112774818
Героїв-Пожежників вулиця|w155120565
Героїв Бресту провулок|w177963088
Героїв ОУН вулиця|w44046046
Героїв Перекопа вулиця|w287287854
Героїв Танкістів вулиця|w243130397
Героїв Трипілля вулиця|w98903636
Гершуні вулиця|w228794800
Гідросилівська вулиця|w225065578
Глєбова провулок|w199345609
Глибоко-Долинська вулиця|w288765959
Глиницький завулок|w265409023
Глінний провулок|w179891630
Глуховський провулок|w294912367
Глушків провулок|w182498571
Гната Кузовкова вулиця|w295108603
Говерлянська вулиця|w26056014
Годованого вулиця|w167098628
Голинського вулиця|w43383813
Голоапчука вулиця|w208271825
Голобухіна вулиця|w238405331
Голованевського-Барського провулок|w95850525
Головачова вулиця|w139103311
Головачова провулок|w139105319
Голубиний провулок|w292845149,w292845151
Гомонєнка вулиця|w228129014
Гончарівська вулиця|w232405414,w290937729
Горбанівка вулиця|w260665785
Горбанівська вулиця|w259256601
Горбача вулиця|w286595976
Горбаша вулиця|w44045994,w44045995
Горбушка вулиця|w164609391
Гордіівка вулиця|w255138843
Горєлова провулок|w276041094
Горинська вулиця|w237263528
Горинський провулок|w321464234
Горішнянка вулиця|w294713048
Горлівської Дивізії вулиця|w131687544,w293786147,w293787441,w295059384,w295262591,w295263113,w295263341,w295874144,w297540041,w297582537,w297582538,w300243601,w300243606
Горобиновий провулок|w313039531
Городецького вулиця|w192625907
Городнича вулиця|w101939781
Городнянський в’їзд|w228449541
Городова вулиця|w231850220,w264626059
Господарський провулок|w305083781
Гостроверхова вулиця|w282460632
Граверна вулиця|w278249750
Грайворонський провулок|w151341232
Графітна вулиця|w293724503
Гребеля вулиця|w51750231
Гребешівка вулиця|w143068819,w143068828,w161710144
Грибальова вулиця|w88834019
Грибенка вулиця|w313720151,w313720152
Грибна вулиця|w159297827,w169688269,w262939063
Грибний проїзд|w313414178
Григора Крука вулиця|w107586448
Григора Тютюнника вулиця|w174264118
Григорія Варавіна вулиця|w249676797
Григорія Журбинського вулиця|w207605568,w318274386,w318274387
Григорія Кочерещенка вулиця|w147371044
Гринюка вулиця|w44056087
Грицька провулок|w94965700
Грицюка вулиця|w301754117
Грицюти вулиця|w201825906
Грозненський провулок|w178816451
Грома вулиця|w309098613
Грузина провулок|w135338742
Грунтовий провулок|w316639792
Губаря вулиця|w204139071,w204140327,w204140367
Гудими вулиця|w112774809
Гудимівська вулиця|w165719922,w229347866
Гуйвинський провулок|w313415112
Гуківська вулиця|w88199850
Гуківський в’їзд|w101196730
Гуляєва вулиця|w95085901
Гуменівка вулиця|w228721407,w293283892,w300869979
Гуртянська вулиця|w294967326
Гусаківська вулиця|w159711821
Густинська вулиця|w113771090,w113771092
Гусятинське шосе|w40292600
Гуци вулиця|w231114788
Д. Бедного вулиця|w225925823,w225925824,w225925825,w225925826
Д.Бідного вулиця|w107551610
Дадашева вулиця|w143531389,w294930758
Далекий провулок|w126414091
Дальнова вулиця|w157701082
Дам’янича вулиця|w127240855
Даневича вулиця|w228241094,w228793818,w228794801
Данилюка вулиця|w282604437,w288182417
Данкевича вулиця|w44056034
Дармостука вулиця|w315612205
Дачка вулиця|w166199243
Двірська вулиця|w300648070,w300648071,w300648072,w300648073,w300648074,w300742467,w300742468,w300743374
Дворнікова вулиця|w49482256
Дворського вулиця|w319964124,w320122657
Дейнеки вулиця|w95113911
Дейча вулиця|w239926244,w239932378
Дем’яна Многогрішного вулиця|w56418720
Дем’янів Лаз вулиця|w262649092
Дем’янчука вулиця|w298572303
Деметра вулиця|w159582291
Демидів провулок|w278916925
Демури вулиця|w175135726
Денисенків провулок|w182495645
Дербукова вулиця|w302694116
Дерибасова вулиця|w303534695
Дєхтярьова вулиця|w103275696
Джона Говарда вулиця|w159804068,w159804075
Димітрова вулиця|w144337659,w243870468,w243912785
Динамівський в’їзд|w229110671
Динамівський провулок|w302110936
Диськовецька вулиця|w183717527,w183717528,w183717529
Діагональний провулок|w231099952
Дібровецький провулок|w87497270
Дігтяра вулиця|w136285280
Дігтяра провулок|w135361838
Діденка вулиця|w249592532
Дікалова вулиця|w182494127,w269388973,w269388975
Дільницька вулиця|w113597282,w113597426
Дільничий провулок|w313436303
Дінця вулиця|w204148703
Дмитра Шостаковича провулок|w302614863
Дніпробузька вулиця|w221586572,w221586573
Добра вулиця|w141471691
Добропільський провулок|w173375159
Добросусідства вулиця|w124400308
Довгалевського вулиця|w290643346
Довгалівка вулиця|w182388736,w278071581,w278071582
Довгалівського вулиця|w313743692,w313743693
Довге Озеро вулиця|w283586353,w283586354
Долгий вулиця|w31347465
Долгополого вулиця|w244680126,w275920525
Долгополого провулок|w244680160
Долина вулиця|w259255379,w260317662,w260317712
Долицького вулиця|w44051385
Долішна вулиця|w293585882
Долішнянка вулиця|w293283944,w293283945,w293283950,w293283951,w294670292,w294714014
Долматова вулиця|w40963419
Домбудівельна вулиця|w49055582
Доменщиків вулиця|w190055927
Дорофєєва вулиця|w49482344,w49482345,w134281522,w134281524,w200287634
Драчинська вулиця|w165941271
Дренажний провулок|w298343277
Дригала провулок|w151352966
Друга Кальчик вулиця|w275506665,w275507118
Дружби народів вулиця|w259750416
Дружинницька вулиця|w302110944
Друзів провулок|w52598538,w53258712
Друкарський провулок|w164609383
Друця вулиця|w149932898
Дрьоміна вулиця|w182390102
Дубенщина вулиця|w55162395,w219042346
Дудка вулиця|w179615670,w224710129,w224710130,w225106067
Дуднича вулиця|w173527648
Дудченка вулиця|w143234539
Дудченка провулок|w143234569
Дулішковича вулиця|w231114790
Дунаєцька вулиця|w45964762
Дунцова-Вигодовського вулиця|w130643947
Дусухамбетова вулиця|w221666695
Духова вулиця|w240363206
Дучимінської вулиця|w43388354
Дядинюка вулиця|w43400465
Дятьковецька вулиця|w44060359
Едуарда Райса вулиця|w31772863
Експериментальний провулок|w207598582
Еліезера Штейнбарга вулиця|w23538165
Ельворті вулиця|w80924073,w103190998,w103191008,w190479957,w190479958,w290672792
Енґельса вулиця|w43284939
Є. Гребінки провулок|w101374615
Є. Плужника вулиця|w197355045,w197355047
Є. Чернишової вулиця|w86341813
Євгена Максимовича вулиця|w29270110
Євгена Стефюка вулиця|w27104843
Євгена Фенцика площа|w148063428
Євгенії Бош вулиця|w49423190
Євдокименка вулиця|w69905488,w134510356
Єлени вулиця|w205253099
Єньковська вулиця|w192677315
Єрківська вулиця|w283557931,w283557965,w283557967
Єрмішина вулиця|w95385649
Єфрейтора Пирогова вулиця|w149942699,w149942729
Жадановського вулиця|w105835973,w106271618,w187249244,w250586868
Жарінова вулиця|w244917538
Жатковича вулиця|w231114791
Желехівського вулиця|w204029979
Желязняка вулиця|w174964514
Жибчина вулиця|w280042531
Животноводів вулиця|w294967357
Жигуліних вулиця|w126413138
Жижкуна вулиця|w207150421
